INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/list],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/edit],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponEdit(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/couponcode/edit],methods=[GET],produces=[text/json;charset=UTF-8]}" onto public java.lang.String com.cxgm.controller.CouponController.couponCodeEdit(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/coupon],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.getCoupon(javax.servlet.http.HttpServletRequest,java.lang.Integer)
INFO | 2018-10-08 12:24:47,052 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponSave(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String,java.math.BigDecimal,java.math.BigDecimal,java.lang.Integer,java.lang.Integer,boolean,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Long) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,052 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/couponcode/add],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponcodeAdd(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,052 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/delete],methods=[GET],produces=[text/json;charset=UTF-8]}" onto public java.lang.String com.cxgm.controller.CouponController.couponDelete(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,052 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/couponcode/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponcodeSave(javax.servlet.http.HttpServletRequest,java.lang.Long,java.lang.Integer,java.lang.Integer)
INFO | 2018-10-08 12:24:47,052 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/add],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponAdd(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,056 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/center],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.LoginController.getCenter(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
